sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,day
5:14:29 AM,3:24:55 PM,10:19:42 AM,10:10:26,4:39:46 AM,3:59:37 PM,4:00:17 AM,4:39:07 PM,3:21:06 AM,5:18:17 PM,2020-10-22
5:16:16 AM,3:22:52 PM,10:19:34 AM,10:06:36,4:41:28 AM,3:57:40 PM,4:01:56 AM,4:37:12 PM,3:22:45 AM,5:16:23 PM,2020-10-23
5:18:03 AM,3:20:50 PM,10:19:27 AM,10:02:47,4:43:10 AM,3:55:43 PM,4:03:35 AM,4:35:19 PM,3:24:24 AM,5:14:30 PM,2020-10-24
5:19:51 AM,3:18:49 PM,10:19:20 AM,09:58:58,4:44:52 AM,3:53:48 PM,4:05:13 AM,4:33:27 PM,3:26:02 AM,5:12:38 PM,2020-10-25
5:21:39 AM,3:16:50 PM,10:19:14 AM,09:55:11,4:46:34 AM,3:51:55 PM,4:06:51 AM,4:31:37 PM,3:27:39 AM,5:10:49 PM,2020-10-26
5:23:27 AM,3:14:51 PM,10:19:09 AM,09:51:24,4:48:16 AM,3:50:03 PM,4:08:29 AM,4:29:49 PM,3:29:17 AM,5:09:02 PM,2020-10-27
5:25:16 AM,3:12:54 PM,10:19:05 AM,09:47:38,4:49:58 AM,3:48:12 PM,4:10:07 AM,4:28:03 PM,3:30:54 AM,5:07:17 PM,2020-10-28
5:27:04 AM,3:10:59 PM,10:19:01 AM,09:43:55,4:51:40 AM,3:46:23 PM,4:11:45 AM,4:26:18 PM,3:32:30 AM,5:05:33 PM,2020-10-29
5:28:53 AM,3:09:05 PM,10:18:59 AM,09:40:12,4:53:21 AM,3:44:36 PM,4:13:22 AM,4:24:35 PM,3:34:06 AM,5:03:52 PM,2020-10-30
5:30:41 AM,3:07:12 PM,10:18:57 AM,09:36:31,4:55:03 AM,3:42:50 PM,4:14:59 AM,4:22:54 PM,3:35:41 AM,5:02:12 PM,2020-10-31
5:32:30 AM,3:05:21 PM,10:18:56 AM,09:32:51,4:56:45 AM,3:41:06 PM,4:16:36 AM,4:21:15 PM,3:37:16 AM,5:00:35 PM,2020-11-01
5:34:19 AM,3:03:32 PM,10:18:55 AM,09:29:13,4:58:26 AM,3:39:24 PM,4:18:12 AM,4:19:38 PM,3:38:51 AM,4:59:00 PM,2020-11-02
5:36:08 AM,3:01:44 PM,10:18:56 AM,09:25:36,5:00:07 AM,3:37:44 PM,4:19:48 AM,4:18:03 PM,3:40:25 AM,4:57:26 PM,2020-11-03
5:37:56 AM,2:59:58 PM,10:18:57 AM,09:22:02,5:01:49 AM,3:36:05 PM,4:21:24 AM,4:16:30 PM,3:41:59 AM,4:55:55 PM,2020-11-04
5:39:45 AM,2:58:14 PM,10:18:59 AM,09:18:29,5:03:29 AM,3:34:29 PM,4:23:00 AM,4:14:58 PM,3:43:32 AM,4:54:27 PM,2020-11-05
5:41:33 AM,2:56:31 PM,10:19:02 AM,09:14:58,5:05:10 AM,3:32:54 PM,4:24:35 AM,4:13:29 PM,3:45:04 AM,4:53:00 PM,2020-11-06
5:43:21 AM,2:54:50 PM,10:19:06 AM,09:11:29,5:06:50 AM,3:31:21 PM,4:26:10 AM,4:12:02 PM,3:46:36 AM,4:51:36 PM,2020-11-07
5:45:09 AM,2:53:12 PM,10:19:10 AM,09:08:03,5:08:30 AM,3:29:51 PM,4:27:44 AM,4:10:37 PM,3:48:08 AM,4:50:13 PM,2020-11-08
5:46:57 AM,2:51:35 PM,10:19:16 AM,09:04:38,5:10:10 AM,3:28:22 PM,4:29:17 AM,4:09:14 PM,3:49:38 AM,4:48:54 PM,2020-11-09
5:48:45 AM,2:50:00 PM,10:19:22 AM,09:01:15,5:11:49 AM,3:26:56 PM,4:30:51 AM,4:07:54 PM,3:51:09 AM,4:47:36 PM,2020-11-10
5:50:32 AM,2:48:27 PM,10:19:29 AM,08:57:55,5:13:28 AM,3:25:31 PM,4:32:23 AM,4:06:36 PM,3:52:38 AM,4:46:21 PM,2020-11-11
5:52:18 AM,2:46:57 PM,10:19:38 AM,08:54:39,5:15:06 AM,3:24:09 PM,4:33:55 AM,4:05:20 PM,3:54:07 AM,4:45:08 PM,2020-11-12
5:54:04 AM,2:45:29 PM,10:19:46 AM,08:51:25,5:16:43 AM,3:22:49 PM,4:35:27 AM,4:04:06 PM,3:55:35 AM,4:43:58 PM,2020-11-13
5:55:50 AM,2:44:03 PM,10:19:56 AM,08:48:13,5:18:20 AM,3:21:32 PM,4:36:58 AM,4:02:54 PM,3:57:03 AM,4:42:50 PM,2020-11-14
5:57:35 AM,2:42:39 PM,10:20:07 AM,08:45:04,5:19:57 AM,3:20:17 PM,4:38:28 AM,4:01:45 PM,3:58:29 AM,4:41:44 PM,2020-11-15
5:59:19 AM,2:41:17 PM,10:20:18 AM,08:41:58,5:21:32 AM,3:19:04 PM,4:39:57 AM,4:00:39 PM,3:59:55 AM,4:40:41 PM,2020-11-16
6:01:02 AM,2:39:58 PM,10:20:30 AM,08:38:56,5:23:07 AM,3:17:53 PM,4:41:26 AM,3:59:35 PM,4:01:20 AM,4:39:40 PM,2020-11-17
6:02:45 AM,2:38:42 PM,10:20:43 AM,08:35:57,5:24:41 AM,3:16:46 PM,4:42:54 AM,3:58:33 PM,4:02:45 AM,4:38:42 PM,2020-11-18
6:04:27 AM,2:37:28 PM,10:20:57 AM,08:33:01,5:26:14 AM,3:15:40 PM,4:44:21 AM,3:57:34 PM,4:04:08 AM,4:37:47 PM,2020-11-19
6:06:07 AM,2:36:17 PM,10:21:12 AM,08:30:10,5:27:47 AM,3:14:37 PM,4:45:46 AM,3:56:38 PM,4:05:30 AM,4:36:54 PM,2020-11-20
6:07:47 AM,2:35:08 PM,10:21:28 AM,08:27:21,5:29:18 AM,3:13:37 PM,4:47:11 AM,3:55:44 PM,4:06:52 AM,4:36:03 PM,2020-11-21
6:09:26 AM,2:34:02 PM,10:21:44 AM,08:24:36,5:30:48 AM,3:12:40 PM,4:48:35 AM,3:54:52 PM,4:08:12 AM,4:35:16 PM,2020-11-22
6:11:03 AM,2:32:59 PM,10:22:01 AM,08:21:56,5:32:17 AM,3:11:45 PM,4:49:58 AM,3:54:04 PM,4:09:31 AM,4:34:31 PM,2020-11-23
6:12:39 AM,2:31:59 PM,10:22:19 AM,08:19:20,5:33:45 AM,3:10:53 PM,4:51:20 AM,3:53:18 PM,4:10:49 AM,4:33:48 PM,2020-11-24
6:14:13 AM,2:31:01 PM,10:22:37 AM,08:16:48,5:35:11 AM,3:10:04 PM,4:52:40 AM,3:52:34 PM,4:12:06 AM,4:33:08 PM,2020-11-25
6:15:47 AM,2:30:07 PM,10:22:57 AM,08:14:20,5:36:36 AM,3:09:17 PM,4:54:00 AM,3:51:54 PM,4:13:22 AM,4:32:31 PM,2020-11-26
6:17:18 AM,2:29:15 PM,10:23:17 AM,08:11:57,5:38:00 AM,3:08:33 PM,4:55:18 AM,3:51:16 PM,4:14:37 AM,4:31:57 PM,2020-11-27
6:18:48 AM,2:28:27 PM,10:23:37 AM,08:09:39,5:39:22 AM,3:07:53 PM,4:56:34 AM,3:50:41 PM,4:15:50 AM,4:31:25 PM,2020-11-28
6:20:16 AM,2:27:41 PM,10:23:59 AM,08:07:25,5:40:43 AM,3:07:15 PM,4:57:49 AM,3:50:08 PM,4:17:02 AM,4:30:56 PM,2020-11-29
6:21:43 AM,2:26:59 PM,10:24:21 AM,08:05:16,5:42:02 AM,3:06:40 PM,4:59:03 AM,3:49:39 PM,4:18:12 AM,4:30:30 PM,2020-11-30
6:23:07 AM,2:26:20 PM,10:24:44 AM,08:03:13,5:43:19 AM,3:06:08 PM,5:00:15 AM,3:49:12 PM,4:19:21 AM,4:30:06 PM,2020-12-01
6:24:30 AM,2:25:45 PM,10:25:07 AM,08:01:15,5:44:35 AM,3:05:39 PM,5:01:26 AM,3:48:48 PM,4:20:29 AM,4:29:46 PM,2020-12-02
6:25:50 AM,2:25:12 PM,10:25:31 AM,07:59:22,5:45:49 AM,3:05:13 PM,5:02:35 AM,3:48:27 PM,4:21:35 AM,4:29:28 PM,2020-12-03
6:27:08 AM,2:24:43 PM,10:25:56 AM,07:57:35,5:47:01 AM,3:04:51 PM,5:03:42 AM,3:48:09 PM,4:22:39 AM,4:29:12 PM,2020-12-04
6:28:24 AM,2:24:17 PM,10:26:21 AM,07:55:53,5:48:10 AM,3:04:31 PM,5:04:47 AM,3:47:54 PM,4:23:42 AM,4:29:00 PM,2020-12-05
6:29:38 AM,2:23:55 PM,10:26:46 AM,07:54:17,5:49:18 AM,3:04:14 PM,5:05:51 AM,3:47:42 PM,4:24:43 AM,4:28:50 PM,2020-12-06
6:30:49 AM,2:23:36 PM,10:27:12 AM,07:52:47,5:50:24 AM,3:04:01 PM,5:06:53 AM,3:47:32 PM,4:25:42 AM,4:28:43 PM,2020-12-07
6:31:58 AM,2:23:20 PM,10:27:39 AM,07:51:22,5:51:27 AM,3:03:50 PM,5:07:52 AM,3:47:26 PM,4:26:39 AM,4:28:39 PM,2020-12-08
6:33:04 AM,2:23:08 PM,10:28:06 AM,07:50:04,5:52:29 AM,3:03:43 PM,5:08:50 AM,3:47:22 PM,4:27:35 AM,4:28:37 PM,2020-12-09
6:34:07 AM,2:22:59 PM,10:28:33 AM,07:48:52,5:53:28 AM,3:03:39 PM,5:09:46 AM,3:47:21 PM,4:28:29 AM,4:28:38 PM,2020-12-10
6:35:08 AM,2:22:54 PM,10:29:01 AM,07:47:46,5:54:24 AM,3:03:38 PM,5:10:39 AM,3:47:23 PM,4:29:20 AM,4:28:42 PM,2020-12-11
6:36:06 AM,2:22:53 PM,10:29:29 AM,07:46:47,5:55:18 AM,3:03:40 PM,5:11:31 AM,3:47:28 PM,4:30:10 AM,4:28:49 PM,2020-12-12
6:37:01 AM,2:22:55 PM,10:29:58 AM,07:45:54,5:56:10 AM,3:03:46 PM,5:12:20 AM,3:47:36 PM,4:30:58 AM,4:28:58 PM,2020-12-13
6:37:53 AM,2:23:00 PM,10:30:27 AM,07:45:07,5:56:59 AM,3:03:54 PM,5:13:07 AM,3:47:46 PM,4:31:43 AM,4:29:10 PM,2020-12-14
6:38:42 AM,2:23:09 PM,10:30:56 AM,07:44:27,5:57:45 AM,3:04:06 PM,5:13:51 AM,3:48:00 PM,4:32:27 AM,4:29:24 PM,2020-12-15
6:39:28 AM,2:23:22 PM,10:31:25 AM,07:43:54,5:58:29 AM,3:04:20 PM,5:14:34 AM,3:48:16 PM,4:33:08 AM,4:29:42 PM,2020-12-16
6:40:10 AM,2:23:38 PM,10:31:54 AM,07:43:28,5:59:10 AM,3:04:38 PM,5:15:13 AM,3:48:35 PM,4:33:47 AM,4:30:01 PM,2020-12-17
6:40:50 AM,2:23:58 PM,10:32:24 AM,07:43:08,5:59:49 AM,3:04:59 PM,5:15:51 AM,3:48:57 PM,4:34:24 AM,4:30:24 PM,2020-12-18
6:41:26 AM,2:24:21 PM,10:32:53 AM,07:42:55,6:00:24 AM,3:05:23 PM,5:16:26 AM,3:49:21 PM,4:34:58 AM,4:30:49 PM,2020-12-19
6:41:59 AM,2:24:47 PM,10:33:23 AM,07:42:48,6:00:57 AM,3:05:50 PM,5:16:58 AM,3:49:48 PM,4:35:30 AM,4:31:16 PM,2020-12-20
6:42:29 AM,2:25:17 PM,10:33:53 AM,07:42:48,6:01:26 AM,3:06:20 PM,5:17:28 AM,3:50:18 PM,4:36:00 AM,4:31:46 PM,2020-12-21
6:42:55 AM,2:25:50 PM,10:34:23 AM,07:42:55,6:01:53 AM,3:06:53 PM,5:17:55 AM,3:50:51 PM,4:36:28 AM,4:32:18 PM,2020-12-22
6:43:18 AM,2:26:27 PM,10:34:53 AM,07:43:09,6:02:17 AM,3:07:28 PM,5:18:19 AM,3:51:26 PM,4:36:52 AM,4:32:53 PM,2020-12-23
6:43:38 AM,2:27:07 PM,10:35:23 AM,07:43:29,6:02:38 AM,3:08:07 PM,5:18:41 AM,3:52:04 PM,4:37:15 AM,4:33:30 PM,2020-12-24
6:43:54 AM,2:27:50 PM,10:35:52 AM,07:43:56,6:02:56 AM,3:08:49 PM,5:19:00 AM,3:52:44 PM,4:37:35 AM,4:34:10 PM,2020-12-25
6:44:07 AM,2:28:37 PM,10:36:22 AM,07:44:30,6:03:11 AM,3:09:33 PM,5:19:17 AM,3:53:27 PM,4:37:52 AM,4:34:52 PM,2020-12-26
6:44:16 AM,2:29:27 PM,10:36:51 AM,07:45:11,6:03:22 AM,3:10:20 PM,5:19:30 AM,3:54:12 PM,4:38:07 AM,4:35:36 PM,2020-12-27
6:44:21 AM,2:30:19 PM,10:37:20 AM,07:45:58,6:03:31 AM,3:11:10 PM,5:19:41 AM,3:55:00 PM,4:38:19 AM,4:36:22 PM,2020-12-28
6:44:24 AM,2:31:15 PM,10:37:49 AM,07:46:51,6:03:37 AM,3:12:02 PM,5:19:49 AM,3:55:50 PM,4:38:29 AM,4:37:10 PM,2020-12-29
6:44:22 AM,2:32:14 PM,10:38:18 AM,07:47:52,6:03:39 AM,3:12:57 PM,5:19:54 AM,3:56:42 PM,4:38:36 AM,4:38:01 PM,2020-12-30
6:44:18 AM,2:33:16 PM,10:38:47 AM,07:48:58,6:03:39 AM,3:13:55 PM,5:19:57 AM,3:57:36 PM,4:38:40 AM,4:38:54 PM,2020-12-31
